No,Title,category,tier
1,CompTIA CySA+ Guide to Cybersecurity Analyst (CS0-003),Directly security-related,direct
2,CompTIA PenTest+ Guide to Penetration Testing,Directly security-related,direct
3,CompTIA Security+ Guide to Network Security Fundamentals,Directly security-related,direct
4,Hands-On Ethical Hacking and Network Defense,Directly security-related,direct
5,Management of Cybersecurity,Directly security-related,direct
6,Principles of Incident Response & Disaster Recovery,Directly security-related,direct
7,Principles of Information Security,Directly security-related,direct
8,Security Awareness: Applying Practical Cybersecurity in Your World,Directly security-related,direct
