Rank,Title,category,fuzzy_relevance,fuzzy_recency,fuzzy_affordability,fuzzy_score
1,"Modern Software Engineering: 
Doing What Works to Build Better Software Faster",Programming support,0.8,0.75,1.0,0.8475000000000001
2,Social research methods : qualitative and quantitative approaches,Mathematical support,0.55,0.25,0.0,0.31000000000000005
